                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    149,                 1.2362,                 0.6753,                  1.013,                0.72388,                0.68751,                 0.7498,                0.42166,                 1.4052,                0.76485,                 1.0825,               0.002674,               0.002674,               0.002674
                    150,                 1.2377,                0.67444,                 1.0093,                0.72606,                0.68849,                0.74988,                0.42083,                 1.4057,                 0.7648,                 1.0829,              0.0026245,              0.0026245,              0.0026245
                    151,                 1.2374,                0.67662,                 1.0062,                0.72629,                0.68822,                0.75042,                0.42119,                 1.4047,                0.76486,                 1.0822,               0.002575,               0.002575,               0.002575
                    152,                 1.2306,                0.66843,                 1.0117,                0.72803,                0.68977,                0.75072,                0.42093,                 1.4054,                0.76473,                 1.0825,              0.0025255,              0.0025255,              0.0025255
                    153,                 1.2317,                0.67104,                 1.0097,                0.72824,                0.69132,                 0.7508,                0.42122,                 1.4049,                0.76435,                 1.0823,               0.002476,               0.002476,               0.002476
                    154,                 1.2348,                0.67459,                 1.0105,                0.72557,                0.69081,                0.75006,                0.42039,                 1.4065,                 0.7651,                 1.0828,              0.0024265,              0.0024265,              0.0024265
                    155,                 1.2407,                0.67455,                 1.0086,                0.72407,                0.69174,                0.74985,                0.42055,                 1.4061,                0.76621,                 1.0823,               0.002377,               0.002377,               0.002377
                    156,                 1.2286,                0.67038,                 1.0071,                0.72591,                 0.6902,                0.75004,                0.42044,                 1.4059,                0.76634,                 1.0819,              0.0023275,              0.0023275,              0.0023275
                    157,                 1.2302,                0.66595,                 1.0048,                0.72733,                0.68833,                0.74971,                0.42049,                  1.406,                0.76674,                 1.0816,               0.002278,               0.002278,               0.002278
                    158,                 1.2208,                0.66411,                 1.0021,                0.72329,                0.69232,                 0.7493,                0.42037,                 1.4058,                0.76654,                 1.0821,              0.0022285,              0.0022285,              0.0022285
                    159,                 1.2165,                0.65986,                 1.0049,                0.72209,                0.69435,                0.74866,                0.42013,                 1.4057,                0.76724,                 1.0824,               0.002179,               0.002179,               0.002179
                    160,                  1.226,                  0.664,                 1.0071,                 0.7245,                0.69175,                0.74824,                0.41968,                 1.4066,                0.76724,                  1.083,              0.0021295,              0.0021295,              0.0021295
                    161,                  1.225,                0.66142,                 1.0059,                0.72305,                 0.6912,                0.74793,                0.41956,                 1.4073,                0.76785,                 1.0834,                0.00208,                0.00208,                0.00208
                    162,                 1.2194,                0.66379,                 1.0029,                0.72398,                0.69185,                0.74786,                0.42002,                 1.4064,                0.76671,                 1.0828,              0.0020305,              0.0020305,              0.0020305
                    163,                 1.2108,                0.65145,                 1.0021,                0.72197,                0.69109,                0.74706,                0.41959,                 1.4069,                0.76681,                 1.0825,               0.001981,               0.001981,               0.001981
                    164,                 1.2212,                0.66049,                  1.003,                0.72454,                0.69076,                0.74775,                0.41959,                 1.4063,                0.76615,                 1.0822,              0.0019315,              0.0019315,              0.0019315
                    165,                  1.217,                 0.6622,                 1.0041,                0.72726,                0.68891,                0.74828,                0.42021,                 1.4059,                0.76514,                 1.0819,               0.001882,               0.001882,               0.001882
                    166,                 1.2112,                0.65631,                 1.0014,                0.72454,                0.69345,                0.74851,                0.42016,                 1.4056,                0.76616,                 1.0817,              0.0018325,              0.0018325,              0.0018325
                    167,                 1.2125,                0.65681,                0.99856,                0.72479,                0.69135,                0.74838,                0.41995,                 1.4062,                0.76641,                 1.0817,               0.001783,               0.001783,               0.001783
                    168,                 1.2128,                0.65156,                  1.004,                0.72665,                0.68961,                0.74775,                0.41917,                  1.407,                0.76664,                 1.0826,              0.0017335,              0.0017335,              0.0017335
                    169,                  1.204,                0.65168,                 1.0016,                 0.7268,                0.69089,                0.74836,                0.41964,                 1.4063,                0.76528,                 1.0823,               0.001684,               0.001684,               0.001684
                    170,                 1.2135,                 0.6571,                 1.0002,                0.72892,                 0.6895,                0.74845,                0.41953,                 1.4065,                 0.7655,                 1.0826,              0.0016345,              0.0016345,              0.0016345
                    171,                 1.2089,                0.65596,                 0.9986,                0.72842,                0.68851,                0.74779,                0.41912,                 1.4069,                0.76624,                 1.0827,               0.001585,               0.001585,               0.001585
                    172,                 1.2096,                  0.649,                0.99744,                0.72904,                 0.6878,                0.74769,                0.41906,                 1.4068,                0.76652,                 1.0828,              0.0015355,              0.0015355,              0.0015355
                    173,                  1.196,                0.64747,                0.99826,                0.72729,                0.68988,                0.74765,                0.41911,                 1.4061,                 0.7659,                 1.0822,               0.001486,               0.001486,               0.001486
                    174,                 1.2055,                0.64977,                0.99699,                0.72633,                0.69062,                0.74801,                0.41939,                 1.4055,                0.76559,                 1.0817,              0.0014365,              0.0014365,              0.0014365
                    175,                 1.1987,                0.64653,                0.99628,                0.72541,                0.69073,                0.74809,                0.41979,                 1.4055,                0.76524,                 1.0817,               0.001387,               0.001387,               0.001387
                    176,                 1.1996,                0.64472,                0.99823,                 0.7271,                0.69014,                0.74794,                0.41962,                 1.4061,                0.76556,                 1.0821,              0.0013375,              0.0013375,              0.0013375
                    177,                 1.1959,                0.64541,                0.99167,                0.72969,                0.68892,                 0.7481,                0.41963,                 1.4061,                0.76573,                 1.0825,               0.001288,               0.001288,               0.001288
                    178,                 1.1928,                0.64272,                0.99491,                0.72935,                 0.6892,                 0.7486,                0.41968,                  1.406,                0.76513,                 1.0826,              0.0012385,              0.0012385,              0.0012385
                    179,                 1.1962,                0.64515,                 0.9972,                0.72924,                0.68894,                0.74821,                0.41968,                 1.4061,                0.76547,                 1.0825,               0.001189,               0.001189,               0.001189
                    180,                 1.1968,                0.64449,                 0.9932,                0.72625,                0.69196,                 0.7477,                0.41919,                 1.4062,                0.76539,                 1.0824,              0.0011395,              0.0011395,              0.0011395
                    181,                 1.1988,                0.64721,                0.99496,                0.72736,                0.69062,                0.74731,                0.41893,                 1.4066,                0.76591,                 1.0826,                0.00109,                0.00109,                0.00109
                    182,                 1.1988,                0.64398,                0.99311,                0.72808,                 0.6902,                0.74727,                0.41914,                 1.4066,                0.76586,                 1.0827,              0.0010405,              0.0010405,              0.0010405
                    183,                 1.1879,                0.63952,                0.99458,                0.72604,                0.69346,                 0.7482,                0.41904,                 1.4066,                0.76598,                 1.0825,               0.000991,               0.000991,               0.000991
                    184,                 1.1922,                0.64206,                0.99228,                0.72668,                0.69184,                0.74809,                0.41883,                 1.4066,                0.76617,                 1.0827,              0.0009415,              0.0009415,              0.0009415
                    185,                 1.1849,                0.63764,                0.99353,                0.72325,                0.69334,                0.74773,                0.41904,                 1.4069,                 0.7663,                 1.0828,               0.000892,               0.000892,               0.000892
